Dates,SPX ,CCMP ,SPTSX ,MEXBOL ,IBOV ,IPSA ,MERVAL ,SPBLPGPT ,IGBC,UKX ,CAC ,DAX ,IBEX ,FTSEMIB ,AEX ,OMX ,RTSI$ ,SMI ,NKY ,HSI ,KOSPI ,TWSE ,JCI ,FBMKLCI ,STI ,ASX ,NZSE 
01-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03-01,0.048884042,0.132546445,0.037190955,0.052708149,0.073357532,0.005874887,0.069623196,0.004344887,NA,-0.022072843,-0.020004238,0.022813172,0.013205087,-0.023976061,-0.006803716,-0.043378877,-0.089520565,-0.002030233,0,-0.01903415,0.000920969,-0.008238035,-0.010725146,-0.013759988,-0.016096469,-0.020187765,-0.014706258
01-04-01,-0.010608477,-0.019238486,-0.003597953,0.032069499,0.004550039,0.00824048,0.023469881,0.008519788,NA,0.023836555,0.022947014,-0.009119995,0.042170084,0.022033063,0.014359932,0.06603561,0.081532855,-0.000258689,-0.006856626,0.043289806,0.067819767,0.048128503,0.009803231,0.009611165,0.029801674,0.022567113,0.012739982
01-05-01,-0.026592845,-0.064020506,-0.024495567,-0.020716254,-0.016037871,,0.009809201,0.000398097,NA,0.002018783,-0.010017355,0.00090447,0.000437532,0.002784572,-0.004973456,0.006053735,0.024529597,-0.016296068,0.012781433,0.013856917,0.040097744,0.030563191,0.021706114,0.009459986,0.027786506,0.001816085,0.00980771
01-08-01,-0.00191966,-0.004883877,-0.002131104,-0.001396914,0.009238235,-0.003211242,0.004085764,-0.003189224,NA,-0.007855754,-0.004389598,0.001543703,0.002309494,-0.003370553,-0.007340496,-0.005565834,0,0.000125218,0,-0.00071752,0.009935842,-0.020416503,-0.007318631,0.007166358,-0.011784878,-0.006736053,-0.002024876
01-09-01,0.003804892,0.018763394,-0.011563772,-0.001104385,0.024660066,-0.002561781,0.055250218,0.007865141,NA,-0.010050993,-0.01221673,0.001930187,-0.004352949,-0.000562865,0.003037448,-0.022367332,0.008203491,-0.00363769,-0.018713617,0.004141309,0.005558545,0.035520359,-0.001186467,-0.000681714,0.011208044,-0.007981295,0.007840172
01-10-01,0.00954075,0.033385573,0.003354145,-0.016128955,-0.00336341,0.003009419,0.004053101,-0.001480637,NA,-0.004642748,-0.001739048,-0.013273707,0.000417371,0.002811162,-0.004036125,-0.009445216,0.05174254,-0.01234084,-0.013153978,-0.004189249,-0.050604767,0.011220049,0.005393917,0.00775295,-0.000784436,-0.003733967,-0.009365229
01-11-01,0.010264892,0.045078545,0.023509947,0.025773424,0.006187008,0.006173365,0.014237331,0.006826626,NA,0.009035117,0.008705485,0.02270521,0.01182243,0.015229546,0.010617167,0.022709754,0.026098147,0.002198599,-0.017390424,-0.02260554,0.001745947,-0.012500602,-0.017244056,-0.005931145,-0.028809875,0.00694433,0.001746958
01-12-01,-0.006426903,-0.005342642,-0.010158861,-3.35194E-05,-0.010244025,0.000499122,-0.003975672,0.002441729,NA,0.008240821,0.022807374,0.003831659,0.019439101,0.014501627,0.004087359,0.01528411,0.011584713,-0.003700999,0.011049195,0.013470139,0.04537772,-0.005573084,-0.007376407,0.00462106,0.002318756,0.00781418,0.010476693
01-15-01,0,0,0.007099242,0.005252164,0.00666612,0.004760879,0.007836296,0.000360934,NA,0.000778223,-0.000164557,0.00504731,0.000181982,0.000227056,0.001982842,0.012838383,0.018077427,0.001807697,0.011803978,-0.000108535,0.018755763,0.007511888,0.011255506,0.005523091,0.009663422,0.000900052,0.008453998
