"ACWI","SPX","LGTRTRUU","LGDRTRUU","LG30TRUU","CCMP","SPTSX","MEXBOL","IBOV","IPSA","MERVAL","IGBVL","FTSE.100","CAC.40","DAX","IBEX","FTSEMIB","AEX","OMX","RTS","SMI","NKY","HSI","KOSPI","TWSE","JCI","FBMKLCI","ASX","NZSE","STI","CL1","HG1","GOLD","S1","mandy"
-0.655481773901393,-0.655481773901393,-0.655481773901393,-0.689009238476659,0,-0.585952618303551,-0.655481773901393,-0.585952618303551,-0.689009238476659,-0.655481773901393,-0.585952618303551,-0.655481773901393,-0.655481773901393,-0.689009238476659,-0.655481773901393,-0.585952618303551,-0.689009238476659,-0.689009238476659,-0.655481773901393,-0.655481773901393,-0.585952618303551,-0.689009238476659,-0.585952618303551,-0.585952618303551,-0.304636097349238,-0.689009238476659,0,-0.474139313057837,-0.689009238476659,-0.585952618303551,-0.689009238476659,-0.585952618303551,-0.655481773901393,-0.655481773901393,"01/2001"
-0.562335144618808,-0.610864302054894,-0.673011667009257,-0.673011667009257,-0.610864302054894,-0.673011667009257,-0.647446639034633,-0.688138813713588,-0.673011667009257,-0.688138813713588,-0.610864302054894,-0.673011667009257,-0.673011667009257,-0.610864302054894,-0.647446639034633,-0.673011667009257,-0.610864302054894,-0.673011667009257,-0.610864302054894,-0.693147180559945,-0.693147180559945,-0.647446639034633,-0.647446639034633,-0.693147180559945,-0.673011667009257,-0.688138813713588,-0.688138813713588,-0.688138813713588,-0.688138813713588,-0.688138813713588,-0.673011667009257,-0.688138813713588,-0.693147180559945,-0.673011667009257,"02/2001"
-0.689009238476659,-0.689009238476659,-0.585952618303551,-0.585952618303551,-0.655481773901393,-0.689009238476659,-0.693147180559945,-0.689009238476659,-0.689009238476659,-0.6765259604935,-0.6765259604935,-0.689009238476659,-0.6765259604935,-0.689009238476659,-0.689009238476659,-0.693147180559945,-0.689009238476659,-0.6765259604935,-0.6765259604935,-0.655481773901393,-0.6765259604935,-0.693147180559945,-0.655481773901393,-0.6765259604935,-0.689009238476659,-0.6765259604935,-0.535959889216217,-0.655481773901393,-0.655481773901393,-0.535959889216217,-0.693147180559945,-0.689009238476659,-0.689009238476659,-0.693147180559945,"03/2001"
-0.647446639034633,-0.693147180559945,-0.693147180559945,-0.688138813713588,-0.688138813713588,-0.688138813713588,-0.688138813713588,-0.688138813713588,-0.673011667009257,-0.673011667009257,-0.688138813713588,-0.647446639034633,-0.693147180559945,-0.647446639034633,-0.647446639034633,-0.610864302054894,-0.610864302054894,-0.688138813713588,-0.673011667009257,-0.688138813713588,-0.688138813713588,-0.673011667009257,-0.688138813713588,-0.693147180559945,-0.673011667009257,-0.647446639034633,-0.673011667009257,-0.610864302054894,-0.610864302054894,-0.693147180559945,-0.688138813713588,-0.673011667009257,-0.673011667009257,-0.693147180559945,"04/2001"
-0.684616277801305,-0.692201702962277,-0.684616277801305,-0.684616277801305,-0.646090505060809,-0.684616277801305,-0.684616277801305,-0.692201702962277,-0.692201702962277,-0.573964491393324,-0.684616277801305,-0.573964491393324,-0.684616277801305,-0.692201702962277,-0.692201702962277,-0.692201702962277,-0.692201702962277,-0.684616277801305,-0.692201702962277,-0.646090505060809,-0.684616277801305,-0.669327963292645,-0.684616277801305,-0.669327963292645,-0.669327963292645,-0.573964491393324,-0.669327963292645,-0.692201702962277,-0.692201702962277,-0.692201702962277,-0.692201702962277,-0.684616277801305,-0.684616277801305,-0.614503320310728,"05/2001"
-0.682908104700472,-0.682908104700472,-0.664528438654915,-0.682908104700472,-0.682908104700472,-0.682908104700472,-0.636514168294813,-0.636514168294813,-0.692012964831874,-0.682908104700472,-0.664528438654915,-0.692012964831874,-0.682908104700472,-0.664528438654915,-0.692012964831874,-0.682908104700472,-0.692012964831874,-0.692012964831874,-0.682908104700472,-0.692012964831874,-0.682908104700472,-0.682908104700472,-0.692012964831874,-0.682908104700472,-0.664528438654915,-0.598269588585257,-0.682908104700472,-0.664528438654915,-0.692012964831874,-0.682908104700472,-0.692012964831874,-0.682908104700472,-0.636514168294813,-0.636514168294813,"06/2001"
-0.693147180559945,-0.693147180559945,-0.655481773901393,-0.535959889216217,-0.693147180559945,-0.693147180559945,-0.689009238476659,-0.693147180559945,-0.6765259604935,-0.693147180559945,-0.6765259604935,-0.689009238476659,-0.6765259604935,-0.689009238476659,-0.689009238476659,-0.6765259604935,-0.689009238476659,-0.655481773901393,-0.655481773901393,-0.655481773901393,-0.6765259604935,-0.655481773901393,-0.693147180559945,-0.689009238476659,-0.6765259604935,-0.655481773901393,-0.655481773901393,-0.689009238476659,-0.689009238476659,-0.655481773901393,-0.6765259604935,-0.693147180559945,-0.693147180559945,-0.6765259604935,"07/2001"
-0.684616277801305,-0.684616277801305,-0.614503320310728,-0.646090505060809,-0.646090505060809,-0.646090505060809,-0.692201702962277,-0.692201702962277,-0.684616277801305,-0.614503320310728,-0.692201702962277,-0.692201702962277,-0.692201702962277,-0.646090505060809,-0.684616277801305,-0.692201702962277,-0.692201702962277,-0.692201702962277,-0.646090505060809,-0.684616277801305,-0.669327963292645,-0.669327963292645,-0.646090505060809,-0.684616277801305,-0.684616277801305,-0.692201702962277,-0.684616277801305,-0.692201702962277,-0.684616277801305,-0.684616277801305,-0.684616277801305,-0.669327963292645,-0.692201702962277,-0.692201702962277,"08/2001"
-0.610864302054894,-0.693147180559945,-0.688138813713588,-0.688138813713588,-0.647446639034633,-0.688138813713588,-0.688138813713588,-0.673011667009257,-0.673011667009257,-0.647446639034633,-0.647446639034633,-0.688138813713588,-0.688138813713588,-0.673011667009257,-0.673011667009257,-0.688138813713588,-0.673011667009257,-0.688138813713588,-0.647446639034633,-0.673011667009257,-0.688138813713588,-0.688138813713588,-0.688138813713588,-0.688138813713588,-0.647446639034633,-0.647446639034633,-0.673011667009257,-0.693147180559945,-0.688138813713588,-0.647446639034633,-0.688138813713588,-0.688138813713588,-0.673011667009257,-0.673011667009257,"09/2001"
-0.684616277801305,-0.692201702962277,-0.692201702962277,-0.669327963292645,-0.692201702962277,-0.646090505060809,-0.684616277801305,-0.692201702962277,-0.692201702962277,-0.684616277801305,-0.684616277801305,-0.646090505060809,-0.692201702962277,-0.669327963292645,-0.684616277801305,-0.669327963292645,-0.684616277801305,-0.692201702962277,-0.684616277801305,-0.684616277801305,-0.684616277801305,-0.684616277801305,-0.692201702962277,-0.573964491393324,-0.646090505060809,-0.669327963292645,-0.646090505060809,-0.669327963292645,-0.614503320310728,-0.669327963292645,-0.684616277801305,-0.669327963292645,-0.692201702962277,-0.692201702962277,"10/2001"
