"date","prop_mstl_asia","prop_mstl_amer","prop_mstl_euro","mstl_continents"
"01/2001",0.618966891226573,0.23935946144254,0.252967150652607,16.584206913629
"02/2001",0.520310956271657,0.633285125568699,0.268899203145094,15.6220064248682
"03/2001",0.56922334150087,0.340099608074038,0.174439757639297,14.8056400632697
"04/2001",0.681824249974943,0.464577078988589,0.206617452184789,13.8080325988538
"05/2001",0.648729863594159,0.55654498884244,0.234328237808144,17.5876152025046
"06/2001",0.53002472095556,0.498655706578175,0.350787853385876,16.7659528802195
"07/2001",0.693250705892094,0.302288307736669,0.344205837131688,16.490855677342
"08/2001",0.604027644510393,0.35648403356119,0.2994889029541,16.4381413255758
"09/2001",0.68781284315451,0.438830448501288,0.415881528830561,11.5750001902317
"10/2001",0.516653641771572,0.433889845793908,0.248185993492134,14.7233599193956
"11/2001",0.614530050753212,0.387514995419411,0.20251247090196,14.4906109532061
"12/2001",0.587154180320286,0.482498480199893,0.34388586127087,14.3059013286414
"01/2002",0.34946111363246,0.444264204031268,0.209511244612432,17.2361789435244
"02/2002",0.547260755153595,0.386910190490174,0.242050746270707,16.6914191893514
"03/2002",0.662234987544408,0.558002885394389,0.218619357860041,16.1126971159461
"04/2002",0.562109572021152,0.398066835013291,0.251960416291221,16.1721911305112
"05/2002",0.544872284031077,0.385358174518599,0.217871465369567,15.911745570702
"06/2002",0.475877866234627,0.513435721115882,0.179179692020432,13.5781746434414
"07/2002",0.355724737127581,0.396926637306216,0.204343322503861,12.4443853423736
"08/2002",0.440258040990685,0.260976685622926,0.439788672164907,12.9435492305533
"09/2002",0.361872678414558,0.433570346972563,0.157927205071686,13.4383891157745
"10/2002",0.402422763242481,0.260499932610729,0.36421074365224,14.2141144270228
"11/2002",0.532787433743077,0.47632497912248,0.206722874807128,13.1253000595874
"12/2002",0.715970410869351,0.458913696697823,0.317074099497887,14.1357039637921
"01/2003",0.606337612082863,0.396213754799034,0.226660977464664,14.8475460878222
"02/2003",0.395940660531985,0.690230071045569,0.208298253796641,14.0894852240575
"03/2003",0.323519278547933,0.3205632814191,0.206950549827383,12.6560285083614
"04/2003",0.371606239295089,0.544400816826878,0.260286773210192,14.239405455092
"05/2003",0.333391328845368,0.277207212368104,0.560104909484373,14.8988988891319
"06/2003",0.439357677112429,0.561663207540808,0.308190827769681,13.3201970417172
"07/2003",0.683146516918001,0.32171984646779,0.309037778012427,14.9421267364703
"08/2003",0.676570182849769,0.539742571842536,0.37308908797583,15.2927937454187
"09/2003",0.438612634652624,0.661777651179019,0.315884812044524,14.0412573264919
"10/2003",0.528479086098798,0.516185146739755,0.389301870001462,15.1627058895874
"11/2003",0.348379349539349,0.487432652619163,0.19531800330352,13.5334629185769
"12/2003",0.501565321288668,0.393840461729927,0.247467591016081,16.0159781747974
"01/2004",0.72183014249763,0.384324940258867,0.293179241470714,17.041453805041
"02/2004",0.483952309159057,0.480136831520883,0.352092628683095,16.2346984581137
"03/2004",0.518783286755443,0.4823813568913,0.262797225796857,14.3027719325756
"04/2004",0.508487664670503,0.307061494108252,0.216100509629518,14.2239499042078
"05/2004",0.423380435462877,0.408858040289987,0.404798862212325,11.6942666572525
"06/2004",0.599775363785518,0.358700474969678,0.420941530023326,15.1055471782586
"07/2004",0.552804385271614,0.391950992346596,0.2024240981438,14.767697617994
"08/2004",0.452378626556199,0.354717675571802,0.282387159493078,15.48974164402
"09/2004",0.641090594631941,0.392771165111048,0.236762020219246,16.9054201133341
"10/2004",0.356593720504021,0.363241875267757,0.195860958348355,11.5025891422013
"11/2004",0.578664615770052,0.36994998330245,0.27389679539198,16.2671169396489
"12/2004",0.544523458395061,0.414738346358817,0.378643757113071,15.3996449245349
"01/2005",0.46907131058748,0.48509586803844,0.199256539168346,16.5524099689132
"02/2005",0.450630687738546,0.556139800309237,0.302099319583626,17.2266165952189
"03/2005",0.362211893343703,0.45121010686247,0.19984763099913,14.6915222856412
"04/2005",0.368875386646693,0.579174227505301,0.406201367216445,12.027268532755
"05/2005",0.625393880083368,0.379743262902914,0.36234785144586,16.9916831993343
"06/2005",0.545301861900872,0.297735551256138,0.415477642026345,16.6391899424308
"07/2005",0.507762869066186,0.524298401101911,0.182427405705447,16.5185539197423
"08/2005",0.620006771828284,0.402872938749775,0.24251622311564,16.5142654759812
"09/2005",0.595049183806572,0.539926039538087,0.372075160564314,17.1985693897632
"10/2005",0.551385137756193,0.262881875054915,0.190560191152598,12.4412955387844
"11/2005",0.53387800688464,0.368706307478922,0.262626192574015,17.5837956320753
"12/2005",0.390978984924195,0.360246870302173,0.303083053930661,15.4036178447412
"01/2006",0.320140307645036,0.329241519233829,0.382997378095308,13.9569248076227
"02/2006",0.74178300690253,0.435896430465293,0.196273670977323,14.9901332011167
"03/2006",0.71844691062696,0.397194991658232,0.307204956621597,14.8266223005687
"04/2006",0.739311272460379,0.274286942905744,0.28858591006812,15.1433938501152
"05/2006",0.378572094886568,0.333855715571858,0.167374111757502,11.1806802260512
"06/2006",0.396252511791167,0.393918419177091,0.202212640137638,9.5496930177112
"07/2006",0.377728056409108,0.287102636358389,0.191467142679892,9.91474330305649
"08/2006",0.515440187206776,0.479050120271416,0.189608355921717,15.2537742861035
"09/2006",0.506640941186178,0.36219975308282,0.284439161225798,13.2015931240284
"10/2006",0.390407029081182,0.510432782073017,0.304529134365561,14.7579056492375
"11/2006",0.579677385718565,0.572128448957545,0.201979641551523,14.3858604005973
"12/2006",0.507213366737006,0.513213893641044,0.384714800457918,14.3485082115359
"01/2007",0.328076073661802,0.468365857105746,0.302468541744826,14.5135845460896
"02/2007",0.470704704055339,0.33818866857937,0.188737409794533,10.4179940961445
"03/2007",0.341844193114866,0.341276508708378,0.474769215100715,8.7421560188336
"04/2007",0.440833199908285,0.546811646654222,0.232372415264168,13.1756938754425
"05/2007",0.382164043509932,0.358236092450108,0.321364713204326,13.9285585679211
"06/2007",0.498501805337347,0.239568636349616,0.216718174170998,12.4555793934723
"07/2007",0.370832030699797,0.418679260664133,0.202914979923524,10.596580154167
"08/2007",0.308633469416497,0.259384809200153,0.205010684368264,9.03071026965323
"09/2007",0.425430475577587,0.721308611950717,0.178848976076016,11.6327987266861
"10/2007",0.487342727081089,0.385919821412249,0.428448931502697,12.9080864416556
"11/2007",0.370529034803893,0.261658387481259,0.241171805169276,11.6454767260707
"12/2007",0.593825362695379,0.341065118954278,0.226556583418405,10.9152295746326
"01/2008",0.387045025993686,0.368880805077385,0.187844543879641,10.8453973754847
"02/2008",0.464326496847732,0.384163802836395,0.173450875271432,11.2034932459243
"03/2008",0.352730505549867,0.357500811543343,0.176061038207032,10.9156337671374
"04/2008",0.463599744667964,0.525252281308469,0.200452777679157,13.6496910285767
"05/2008",0.649761035313039,0.338067764845196,0.260025025467717,15.6092396788164
"06/2008",0.454313652517904,0.412880542842352,0.437326675514162,14.2907289261056
"07/2008",0.345753596401333,0.395791361832038,0.295024296629281,13.2305964385352
"08/2008",0.576506063989205,0.367206460935896,0.318703221562916,13.2302309752378
"09/2008",0.687220238652562,0.250160398610992,0.227322225402703,8.50508366155434
"10/2008",0.386082867170563,0.449494260037464,0.272212561281529,10.0028806479288
"11/2008",0.402748491726845,0.365274288384508,0.522367060504501,10.3234271205522
"12/2008",0.565851413330594,0.266014574732554,0.623369121623398,12.109562293712
"01/2009",0.418584649595307,0.288747305337332,0.232779072299168,11.439380096877
"02/2009",0.6090546609845,0.344672756170724,0.207996939555149,12.4057927776224
"03/2009",0.697358586831698,0.312926735036129,0.310576025206335,10.6088585389466
"04/2009",0.381283734263718,0.279086863000344,0.204964427898654,11.3043056718351
"05/2009",0.411984489982823,0.228300933655614,0.298372416214967,13.1089703355416
"06/2009",0.410323577946994,0.225213929328552,0.486877087318999,10.6644085125359
"07/2009",0.420802292620003,0.225551265714176,0.249458748091466,12.428627963071
"08/2009",0.54405988395681,0.24761790036422,0.196743516965639,11.7145887480805
