"dates","treehier","leafs","median_degree"
"07/2001",6.04741170778907e-05,0.0238095238095238,2
"08/2001",6.22053023799749e-05,0.0264550264550265,2
"09/2001",8.21827744904668e-05,0.0317460317460317,2
"10/2001",9.02399092444341e-05,0.037037037037037,1
"11/2001",5.93542260208927e-05,0.0264550264550265,2
"12/2001",0.00011018243062442,0.037037037037037,1
"01/2002",0.000105258725948381,0.0396825396825397,1
"02/2002",8.08668930939673e-05,0.0343915343915344,2
"03/2002",7.4000074000074e-05,0.0317460317460317,2
"04/2002",6.28456510809452e-05,0.0238095238095238,2
"05/2002",8.9031339031339e-05,0.0317460317460317,2
"06/2002",9.36292016104223e-05,0.037037037037037,1
"07/2002",9.31916819767287e-05,0.037037037037037,1
"08/2002",5.18000518000518e-05,0.0211640211640212,2
"09/2002",7.35658012653318e-05,0.0291005291005291,2
"10/2002",4.97642419039799e-05,0.0211640211640212,2
"11/2002",7.7000077000077e-05,0.0317460317460317,2
"12/2002",7.22097496291045e-05,0.0291005291005291,2
"01/2003",7.38083639638044e-05,0.0264550264550265,2
"02/2003",7.84129224496197e-05,0.0317460317460317,2
"03/2003",6.9953194953195e-05,0.0291005291005291,2
"04/2003",7.98785845514817e-05,0.0317460317460317,2
"05/2003",8.20393490550559e-05,0.0291005291005291,2
"06/2003",6.55628270691032e-05,0.0291005291005291,2
"07/2003",7.02668864103842e-05,0.0291005291005291,2
"08/2003",9.34099294755033e-05,0.0317460317460317,2
"09/2003",5.25646282103847e-05,0.0264550264550265,2
"10/2003",9.59508731529457e-05,0.0343915343915344,2
"11/2003",7.77000777000777e-05,0.0317460317460317,2
"12/2003",9.07770515613653e-05,0.0343915343915344,2
"01/2004",8.16120607787274e-05,0.0291005291005291,2
"02/2004",7.80548725754205e-05,0.0317460317460317,2
"03/2004",8.58995833870206e-05,0.0317460317460317,2
"04/2004",6.8927488282327e-05,0.0317460317460317,2
"05/2004",9.23287960324997e-05,0.037037037037037,1
"06/2004",6.38789876458038e-05,0.0264550264550265,2
"07/2004",6.39572068143497e-05,0.0291005291005291,2
"08/2004",5.82750582750583e-05,0.0238095238095238,2
"09/2004",6.35938135938136e-05,0.0264550264550265,2
"10/2004",7.79577894005755e-05,0.0291005291005291,2
"11/2004",7.42631074384629e-05,0.0291005291005291,2
"12/2004",8.19403474270731e-05,0.0343915343915344,2
"01/2005",7.42631074384629e-05,0.0291005291005291,2
"02/2005",8.45594452900389e-05,0.0343915343915344,2
"03/2005",7.95070562512423e-05,0.0317460317460317,2
"04/2005",8.08668930939673e-05,0.0343915343915344,2
"05/2005",9.59508731529457e-05,0.0343915343915344,2
"06/2005",7.57713523670971e-05,0.0264550264550265,2
"07/2005",6.93341401306003e-05,0.0291005291005291,2
"08/2005",7.95070562512423e-05,0.0317460317460317,2
"09/2005",6.22053023799749e-05,0.0264550264550265,2
"10/2005",7.49737591842855e-05,0.0317460317460317,2
"11/2005",8.21827744904668e-05,0.0317460317460317,2
"12/2005",8.0253601380362e-05,0.0317460317460317,2
"01/2006",7.15502998608021e-05,0.0291005291005291,2
"02/2006",6.88164939372669e-05,0.0264550264550265,2
"03/2006",6.81942171303873e-05,0.0238095238095238,2
"04/2006",7.39128097618664e-05,0.0291005291005291,2
"05/2006",0.000102728468113084,0.0396825396825397,1
"06/2006",6.31552355690287e-05,0.0238095238095238,2
"07/2006",6.28456510809452e-05,0.0238095238095238,2
"08/2006",7.25440540255355e-05,0.0291005291005291,2
"09/2006",7.68113513211552e-05,0.0291005291005291,2
"10/2006",7.08315625442697e-05,0.0238095238095238,2
"11/2006",7.53342099495946e-05,0.0291005291005291,2
"12/2006",8.86356441911997e-05,0.037037037037037,1
"01/2007",8.45594452900389e-05,0.0343915343915344,2
"02/2007",9.19033177097693e-05,0.037037037037037,1
"03/2007",8.15793767335618e-05,0.0343915343915344,2
"04/2007",7.15502998608021e-05,0.0291005291005291,2
"05/2007",7.43715603153354e-05,0.0343915343915344,2
"06/2007",7.53342099495946e-05,0.0291005291005291,2
"07/2007",9.64506172839506e-05,0.0343915343915344,2
"08/2007",7.36811081638668e-05,0.0317460317460317,2
"09/2007",8.4147763472658e-05,0.037037037037037,1
"10/2007",9.01583180064193e-05,0.0396825396825397,1
"11/2007",5.98530010294716e-05,0.0264550264550265,2
"12/2007",7.94786202511524e-05,0.0343915343915344,2
"01/2008",8.16120607787274e-05,0.0291005291005291,2
"02/2008",8.19403474270731e-05,0.0343915343915344,2
"03/2008",7.24322758221063e-05,0.0317460317460317,2
"04/2008",7.91389680278569e-05,0.0317460317460317,2
"05/2008",8.37942014412603e-05,0.0317460317460317,2
"06/2008",7.15502998608021e-05,0.0291005291005291,2
"07/2008",7.02668864103842e-05,0.0291005291005291,2
"08/2008",6.8157962894805e-05,0.0264550264550265,2
"09/2008",7.73484936380864e-05,0.0317460317460317,2
"10/2008",6.86506710603096e-05,0.0317460317460317,2
"11/2008",8.42069807587049e-05,0.0317460317460317,2
"12/2008",8.75391936844451e-05,0.0291005291005291,2
"01/2009",7.15230840753853e-05,0.0317460317460317,2
"02/2009",7.12250712250712e-05,0.0291005291005291,2
"03/2009",8.23045267489712e-05,0.0343915343915344,2
"04/2009",5.72344322344322e-05,0.0238095238095238,2
"05/2009",8.23045267489712e-05,0.0343915343915344,2
"06/2009",6.68780011503016e-05,0.0264550264550265,2
"07/2009",7.15502998608021e-05,0.0291005291005291,2
"08/2009",9.35278713056491e-05,0.0343915343915344,2
"09/2009",7.09027858349125e-05,0.0291005291005291,2
"10/2009",7.59734093067426e-05,0.0317460317460317,2
"11/2009",8.77654906090925e-05,0.0343915343915344,2
"12/2009",8.85700367565653e-05,0.0317460317460317,2
"01/2010",9.09256228405165e-05,0.0317460317460317,2
"02/2010",6.47500647500648e-05,0.0291005291005291,2
"03/2010",8.08668930939673e-05,0.0343915343915344,2
"04/2010",7.36811081638668e-05,0.0317460317460317,2
"05/2010",5.59847721419774e-05,0.0238095238095238,2
"06/2010",7.05834039167373e-05,0.0291005291005291,2
"07/2010",9.12242291552636e-05,0.0343915343915344,2
"08/2010",7.29075532225139e-05,0.0343915343915344,2
"09/2010",6.47500647500648e-05,0.0317460317460317,2
"10/2010",7.05198725000705e-05,0.0264550264550265,2
"11/2010",8.37942014412603e-05,0.0317460317460317,2
"12/2010",5.58628009608402e-05,0.0264550264550265,2
"01/2011",8.14000814000814e-05,0.037037037037037,1
"02/2011",7.79577894005755e-05,0.0291005291005291,2
"03/2011",6.35938135938136e-05,0.0264550264550265,2
"04/2011",8.86053517632465e-05,0.0343915343915344,2
"05/2011",7.21266544051354e-05,0.0317460317460317,2
"06/2011",9.85027580772262e-05,0.0343915343915344,2
"07/2011",6.8927488282327e-05,0.0317460317460317,2
"08/2011",7.94786202511524e-05,0.0343915343915344,2
"09/2011",5.65278343056121e-05,0.0264550264550265,2
"10/2011",7.02668864103842e-05,0.0291005291005291,2
"11/2011",7.63125763125763e-05,0.0317460317460317,2
"12/2011",7.01724839655874e-05,0.0264550264550265,2
"01/2012",5.80113702285648e-05,0.0238095238095238,2
"02/2012",8.73515024458421e-05,0.0343915343915344,2
"03/2012",0.000108019065365037,0.0423280423280423,1
"04/2012",6.98285012010502e-05,0.0264550264550265,2
"05/2012",9.92190046916415e-05,0.037037037037037,1
"06/2012",8.57338820301783e-05,0.0343915343915344,2
"07/2012",6.62558802093686e-05,0.0264550264550265,2
"08/2012",6.22053023799749e-05,0.0264550264550265,2
"09/2012",8.30426839395449e-05,0.0343915343915344,2
"10/2012",8.54700854700855e-05,0.0317460317460317,2
"11/2012",6.22053023799749e-05,0.0264550264550265,2
"12/2012",5.55902994927385e-05,0.0211640211640212,2
"01/2013",7.95406886777445e-05,0.0291005291005291,2
"02/2013",8.14000814000814e-05,0.037037037037037,1
"03/2013",8.50448611642641e-05,0.0317460317460317,2
"04/2013",9.35278713056491e-05,0.0343915343915344,2
"05/2013",5.91079429253703e-05,0.0264550264550265,2
"06/2013",0.000107374479233776,0.0396825396825397,1
"07/2013",6.42193265144085e-05,0.0291005291005291,2
"08/2013",6.72511402125136e-05,0.0291005291005291,2
"09/2013",8.61326442721792e-05,0.0343915343915344,2
"10/2013",7.79577894005755e-05,0.0291005291005291,2
"11/2013",7.74833410816674e-05,0.0343915343915344,2
"12/2013",7.53704457408161e-05,0.0264550264550265,2
"01/2014",7.77000777000777e-05,0.0317460317460317,2
"02/2014",0.000101267873779722,0.0396825396825397,1
"03/2014",7.63125763125763e-05,0.0317460317460317,2
"04/2014",7.26786441072155e-05,0.0264550264550265,2
"05/2014",7.60656100461926e-05,0.0291005291005291,2
"06/2014",7.77000777000777e-05,0.0317460317460317,2
"07/2014",7.39128097618664e-05,0.0291005291005291,2
"08/2014",7.79577894005755e-05,0.0291005291005291,2
"09/2014",8.50448611642641e-05,0.0317460317460317,2
"10/2014",6.13421666053245e-05,0.0238095238095238,2
"11/2014",8.23045267489712e-05,0.0343915343915344,2
"12/2014",5.1103190116643e-05,0.0211640211640212,2
"01/2015",0.000104413716979162,0.037037037037037,1
"02/2015",8.15793767335618e-05,0.0343915343915344,2
"03/2015",7.35658012653318e-05,0.0291005291005291,2
"04/2015",8.42069807587049e-05,0.0317460317460317,2
"05/2015",7.87412847714355e-05,0.0291005291005291,2
"06/2015",7.18785122454847e-05,0.0291005291005291,2
"07/2015",9.07770515613653e-05,0.0343915343915344,2
"08/2015",0.000107374479233776,0.0396825396825397,1
"09/2015",8.72143729286586e-05,0.0396825396825397,1
